1,0,42162,182,3450,191
2,10,41893,1,3432,1
3,32,48147,1,3394,1
4,33,42165,1,3450,191
5,37,42165,1,3450,191
6,38,42173,1,3451,1
7,39,42372,1,3455,1
8,44,42487,1,3456,1
9,45,43341,1,3494,1
10,47,49613,1,3562,1
11,48,42169,1,3450,191
12,49,42194,1,3452,1
13,50,42173,1,3450,191
14,51,42170,1,3451,1
15,52,42164,1,3450,191
16,53,42172,1,3451,1
17,54,42168,1,3450,191
18,55,42167,1,3450,191
19,56,42169,1,3450,191
20,57,42171,1,3451,1
21,58,42216,1,3454,1
22,59,42167,1,3450,191
23,65,42734,1,3478,1
24,66,43937,1,3502,1
25,67,43010,1,3485,1
26,68,42831,1,3479,1
27,69,42289,1,3457,1
28,70,42251,1,3457,1
29,71,42382,1,3462,1
30,72,42753,1,3464,1
31,73,42897,1,3476,1
32,74,43665,1,3487,1
33,75,42173,1,3452,1
34,76,43432,1,3476,1
35,77,42332,1,3461,1
36,78,47007,1,3527,1
37,79,42507,1,3462,1
38,80,43637,1,3501,1
39,81,42299,1,3456,1
40,82,42846,1,3479,1
41,83,43286,1,3507,1
42,84,43396,1,3507,1
43,85,42179,1,3451,1
44,86,43384,1,3465,1
45,87,42314,1,3458,1
46,88,42178,1,3453,1
47,89,42179,1,3454,1
48,90,42299,1,3461,1
49,96,42256,1,3456,1
50,97,44593,1,3551,1
51,98,42591,1,3485,1
52,99,43038,1,3520,1
53,100,43355,1,3512,1
54,101,45937,1,3572,1
55,102,42788,1,3500,1
56,103,42842,1,3490,1
57,104,43643,1,3509,1
58,105,44293,1,3554,1
59,106,42201,1,3457,1
60,107,42385,1,3476,1
61,108,43604,1,3537,1
62,109,42877,1,3504,1
63,110,44392,1,3548,1
64,111,44719,1,3546,1
65,112,42690,1,3493,1
66,113,42200,1,3454,1
67,114,44148,1,3548,1
68,115,43961,1,3537,1
69,116,45324,1,3577,1
70,117,43123,1,3512,1
71,118,42507,1,3484,1
72,119,42582,1,3476,1
73,120,42224,1,3459,1
74,121,42591,1,3477,1
75,122,42193,1,3453,1
